stateAbbr,popVotes,candidateID
AL,0,1
AK,0,1
AZ,0,1
AR,0,1
CA,0,1
CO,337,1
CT,0,1
DE,0,1
DC,0,1
FL,0,1
GA,0,1
HI,0,1
ID,0,1
IL,0,1
IN,0,1
IA,0,1
KS,0,1
KY,0,1
LA,0,1
ME,0,1
MD,0,1
MA,0,1
MI,0,1
MN,0,1
MS,0,1
MO,0,1
MT,0,1
NE,0,1
NV,0,1
NH,0,1
NJ,0,1
NM,0,1
NY,0,1
NC,0,1
ND,0,1
OH,0,1
OK,0,1
OR,0,1
PA,0,1
RI,0,1
SC,0,1
SD,0,1
TN,0,1
TX,0,1
UT,0,1
VT,0,1
VA,0,1
WA,0,1
WV,0,1
WI,0,1
WY,0,1
AL,0,2
AK,3866,2
AZ,1058,2
AR,4613,2
CA,0,2
CO,11699,2
CT,147,2
DE,74,2
DC,0,2
FL,16475,2
GA,1110,2
HI,4508,2
ID,4403,2
IL,1138,2
IN,1937,2
IA,5335,2
KS,646,2
KY,438,2
LA,3129,2
ME,333,2
MD,566,2
MA,0,2
MI,16139,2
MN,9456,2
MS,3987,2
MO,13092,2
MT,296,2
NE,0,2
NV,5268,2
NH,0,2
NJ,6161,2
NM,1514,2
NY,897,2
NC,0,2
ND,1833,2
OH,1887,2
OK,0,2
OR,0,2
PA,21572,2
RI,30,2
SC,5765,2
SD,4064,2
TN,1584,2
TX,4261,2
UT,8032,2
VT,63,2
VA,0,2
WA,17623,2
WV,3807,2
WI,12162,2
WY,2042,2
AL,729547,3
AK,116454,3
AZ,1161167,3
AR,380494,3
CA,8753788,3
CO,1338870,3
CT,897572,3
DE,235603,3
DC,282830,3
FL,4504975,3
GA,1877963,3
HI,266891,3
ID,189765,3
IL,3090729,3
IN,1033126,3
IA,653669,3
KS,427005,3
KY,628854,3
LA,780154,3
ME,357735,3
MD,1677928,3
MA,1995196,3
MI,2268839,3
MN,1367716,3
MS,485131,3
MO,1071068,3
MT,177709,3
NE,284494,3
NV,539260,3
NH,348526,3
NJ,2148278,3
NM,385234,3
NY,4556124,3
NC,2189316,3
ND,93758,3
OH,2394164,3
OK,420375,3
OR,1002106,3
PA,2926441,3
RI,252525,3
SC,855373,3
SD,117458,3
TN,870695,3
TX,3877868,3
UT,310676,3
VT,178573,3
VA,1981473,3
WA,1742718,3
WV,188794,3
WI,1382536,3
WY,55973,3
AL,0,4
AK,0,4
AZ,0,4
AR,0,4
CA,0,4
CO,0,4
CT,0,4
DE,0,4
DC,0,4
FL,0,4
GA,0,4
HI,0,4
ID,2356,4
IL,0,4
IN,0,4
IA,0,4
KS,0,4
KY,0,4
LA,0,4
ME,0,4
MD,0,4
MA,0,4
MI,0,4
MN,0,4
MS,0,4
MO,0,4
MT,0,4
NE,0,4
NV,0,4
NH,0,4
NJ,0,4
NM,0,4
NY,0,4
NC,0,4
ND,0,4
OH,0,4
OK,0,4
OR,0,4
PA,0,4
RI,0,4
SC,0,4
SD,0,4
TN,0,4
TX,0,4
UT,0,4
VT,0,4
VA,0,4
WA,0,4
WV,0,4
WI,0,4
WY,0,4
AL,0,5
AK,1240,5
AZ,29,5
AR,0,5
CA,0,5
CO,1255,5
CT,12,5
DE,3,5
DC,0,5
FL,9108,5
GA,0,5
HI,0,5
ID,1373,5
IL,0,5
IN,21,5
IA,451,5
KS,3,5
KY,1128,5
LA,0,5
ME,0,5
MD,14,5
MA,0,5
MI,0,5
MN,1431,5
MS,644,5
MO,6,5
MT,1570,5
NE,0,5
NV,2552,5
NH,678,5
NJ,1838,5
NM,475,5
NY,35,5
NC,0,5
ND,364,5
OH,0,5
OK,0,5
OR,0,5
PA,0,5
RI,671,5
SC,0,5
SD,0,5
TN,4075,5
TX,0,5
UT,883,5
VT,1063,5
VA,0,5
WA,0,5
WV,3,5
WI,1502,5
WY,709,5
AL,0,6
AK,0,6
AZ,0,6
AR,0,6
CA,0,6
CO,0,6
CT,0,6
DE,1,6
DC,0,6
FL,25,6
GA,0,6
HI,0,6
ID,0,6
IL,0,6
IN,25,6
IA,0,6
KS,0,6
KY,2,6
LA,0,6
ME,0,6
MD,18,6
MA,0,6
MI,0,6
MN,0,6
MS,0,6
MO,0,6
MT,0,6
NE,0,6
NV,0,6
NH,0,6
NJ,0,6
NM,0,6
NY,0,6
NC,0,6
ND,0,6
OH,24235,6
OK,0,6
OR,0,6
PA,0,6
RI,0,6
SC,0,6
SD,0,6
TN,0,6
TX,0,6
UT,0,6
VT,0,6
VA,0,6
WA,0,6
WV,1,6
WI,0,6
WY,0,6
AL,0,7
AK,0,7
AZ,0,7
AR,0,7
CA,0,7
CO,0,7
CT,0,7
DE,0,7
DC,0,7
FL,0,7
GA,0,7
HI,0,7
ID,0,7
IL,0,7
IN,0,7
IA,0,7
KS,0,7
KY,0,7
LA,0,7
ME,0,7
MD,0,7
MA,0,7
MI,0,7
MN,0,7
MS,0,7
MO,0,7
MT,0,7
NE,0,7
NV,0,7
NH,0,7
NJ,0,7
NM,0,7
NY,0,7
NC,0,7
ND,0,7
OH,0,7
OK,0,7
OR,0,7
PA,0,7
RI,0,7
SC,0,7
SD,0,7
TN,0,7
TX,0,7
UT,2752,7
VT,0,7
VA,0,7
WA,0,7
WV,0,7
WI,0,7
WY,0,7
AL,0,8
AK,0,8
AZ,0,8
AR,4709,8
CA,0,8
CO,185,8
CT,0,8
DE,0,8
DC,0,8
FL,0,8
GA,0,8
HI,0,8
ID,0,8
IL,0,8
IN,0,8
IA,0,8
KS,3,8
KY,0,8
LA,0,8
ME,0,8
MD,5,8
MA,0,8
MI,0,8
MN,0,8
MS,715,8
MO,0,8
MT,0,8
NE,0,8
NV,0,8
NH,0,8
NJ,0,8
NM,0,8
NY,0,8
NC,0,8
ND,0,8
OH,0,8
OK,0,8
OR,0,8
PA,0,8
RI,0,8
SC,0,8
SD,0,8
TN,0,8
TX,0,8
UT,0,8
VT,0,8
VA,0,8
WA,0,8
WV,0,8
WI,0,8
WY,0,8
AL,0,9
AK,0,9
AZ,85,9
AR,0,9
CA,0,9
CO,710,9
CT,31,9
DE,7,9
DC,0,9
