candidateID,candidateName,partyAbbr
01,Frank Atwood,APV
02,Darrell L. Castle,AMC
02,Darrell L. Castle,CON
02,Darrell L. Castle,CPF
02,Darrell L. Castle,IAP
02,Darrell L. Castle,IND
02,Darrell L. Castle,UST
03,Hillary Clinton,D
03,Hillary Clinton,DFL
03,Hillary Clinton,DNL
03,Hillary Clinton,WEP
03,Hillary Clinton,WF
04,Scott Copeland,CON
05,"Roque ""Rocky"" De La Fuente",ADP
05,"Roque ""Rocky"" De La Fuente",IND
05,"Roque ""Rocky"" De La Fuente",NAF
05,"Roque ""Rocky"" De La Fuente",NP
05,"Roque ""Rocky"" De La Fuente",NPY
05,"Roque ""Rocky"" De La Fuente",RPF
05,"Roque ""Rocky"" De La Fuente",UN
06,Richard Duncan,N
07,Rocky Giordani,IAP
08,James (Jim) Hedges,IND
08,James (Jim) Hedges,P
09,Tom Hoefling,AMP
09,Tom Hoefling,LFC
10,Princess Jacob,LTC
11,Gary Johnson,IDP
11,Gary Johnson,IND
11,Gary Johnson,LBF
11,Gary Johnson,LIB
11,Gary Johnson,N
12,Lynn S. Kahn,IND
12,Lynn S. Kahn,NPI
13,Chris Keniston,VPA
13,Chris Keniston,VP
14,Alyson Kennedy,IND
14,Alyson Kennedy,SWP
14,Alyson Kennedy,UN
15,Kyle Kenley Kopitke,IAP
16,Laurence Kotlikoff,IOC
16,Laurence Kotlikoff,KFP
17,Gloria Estela La Riva,LBU
17,Gloria Estela La Riva,PAF
17,Gloria Estela La Riva,PSL
17,Gloria Estela La Riva,SLP
18,Bradford Lyttle,NRP
19,Joseph Allen Maldonado,IPC
20,Michael A. Maturen,ASP
21,Evan McMullin,CCS
21,Evan McMullin,IDP
21,Evan McMullin,IND
21,Evan McMullin,BFA
21,Evan McMullin,NP
21,Evan McMullin,UN
22,Monica Moorehead,UN
22,Monica Moorehead,WW
23,Ryan Alan Scott,UN
24,Rod Silva,NTP
25,Peter Skewes,AM
26,Mike Smith,IND
26,Mike Smith,UN
27,Emidio Soltysik,NLP
27,Emidio Soltysik,SOC
28,Jill Stein,BP
28,Jill Stein,GI
28,Jill Stein,GPF
28,Jill Stein,GR
28,Jill Stein,GRE
28,Jill Stein,IG
28,Jill Stein,IND
28,Jill Stein,MTP
28,Jill Stein,PG
28,Jill Stein,PRO
28,Jill Stein,STG
28,Jill Stein,UN
28,Jill Stein,WG
29,Donald J. Trump,C
29,Donald J. Trump,AIP
29,Donald J. Trump,R
30,Dan R. Vacek,LMN
31,Jerry White,SEA
