"candidateID";"candidateName";"partyName";"spectrum";"rating"
"1";"Frank Atwood";"Approval Voting Party";"neither";"0"
"2";"Darrell L. Castle";"American Constitution Party";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Constitution";"right";"5"
"2";"Darrell L. Castle";"Independent American  Party";"right";"5"
"2";"Darrell L. Castle";"Independent";"neither";"0"
"2";"Darrell L. Castle";"U.S. Taxpayers";"right";"5"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"3";"Hillary Clinton";"Democratic";"center-left";"2"
"4";"Scott Copeland";"Constitution";"right";"5"
"5";"Roque ""Rocky"" De La Fuente";"American Delta Party";"center-left";"2"
"5";"Roque ""Rocky"" De La Fuente";"American Delta Party";"center-left";"2"
"5";"Roque ""Rocky"" De La Fuente";"Independent";"neither";"0"
"5";"Roque ""Rocky"" De La Fuente";"Independent";"neither";"0"
"5";"Roque ""Rocky"" De La Fuente";"Reform Party of Florida";"center";"3"
"5";"Roque ""Rocky"" De La Fuente";"Unaffiliated";"neither";"0"
"5";"Roque ""Rocky"" De La Fuente";"Independent";"neither";"0"
"5";"Roque ""Rocky"" De La Fuente";"Independent";"neither";"0"
"5";"Roque ""Rocky"" De La Fuente";"American Delta Party";"center-left";"2"
"5";"Roque ""Rocky"" De La Fuente";"American Delta Party";"center-left";"2"
"5";"Roque ""Rocky"" De La Fuente";"American Delta Party";"center-left";"2"
"5";"Roque ""Rocky"" De La Fuente";"American Delta Party";"center-left";"2"
"5";"Roque ""Rocky"" De La Fuente";"American Delta Party";"center-left";"2"
"5";"Roque ""Rocky"" De La Fuente";"American Delta Party";"center-left";"2"
"5";"Roque ""Rocky"" De La Fuente";"American Delta Party";"center-left";"2"
"5";"Roque ""Rocky"" De La Fuente";"American Delta Party";"center-left";"2"
"5";"Roque ""Rocky"" De La Fuente";"American Delta Party";"center-left";"2"
"5";"Roque ""Rocky"" De La Fuente";"Nonaffiliated";"neither";"0"
"5";"Roque ""Rocky"" De La Fuente";"Nominated by Petition";"neither";"0"
"6";"Richard Duncan";"Nonpartisan";"neither";"0"
"7";"Rocky Giordani";"Independent American  Party";"right";"5"
"8";"James ""Jim"" Hedges";"Independent";"neither";"0"
"8";"James ""Jim"" Hedges";"Prohibition Party";"right";"5"
"8";"James ""Jim"" Hedges";"Prohibition Party";"right";"5"
"9";"Tom Hoefling";"America’s Party";"right";"5"
"9";"Tom Hoefling";"Life, Family, Constitution";"right";"5"
"10";"Princess Jacob";"Loyal Trustworthy Compassion";"center-left";"2"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
"11";"Gary Johnson";"Libertarian";"right";"5"
