stateAbbr,1992,2004,2012
AL,9,9,9
AK,3,3,3
AZ,8,10,11
AR,6,6,6
CA,54,55,55
CO,8,9,9
CT,8,7,7
DE,3,3,3
DC,3,3,3
FL,25,27,29
GA,13,15,16
HI,4,4,4
ID,4,4,4
IL,22,21,20
IN,12,11,11
IA,7,7,6
KS,6,6,6
KY,8,8,8
LA,9,9,8
ME,4,4,4
MD,10,10,10
MA,12,12,11
MI,18,17,16
MN,10,10,10
MS,7,6,6
MO,11,11,10
MT,3,3,3
NE,5,5,5
NV,4,5,6
NH,4,4,4
NJ,15,15,14
NM,5,5,5
NY,33,31,29
NC,14,15,15
ND,3,3,3
OH,21,20,18
OK,8,7,7
OR,7,7,7
PA,23,21,20
RI,4,4,4
SC,8,8,9
SD,3,3,3
TN,11,11,11
TX,32,34,38
UT,5,5,6
VT,3,3,3
VA,13,13,13
WA,11,11,12
WV,5,5,5
WI,11,10,10
WY,3,3,3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
