stateAbbr,stateName
AL,Alabama
AK,Alaska
AZ,Arizona
AR,Arkansas
CA,California
CO,colorado
CT,Connecticut
DE,Delaware
DC,District of Columbia
FL,Florida
GA,Georgia
HI,Hawaii
ID,Idaho
IL,ILLINOIS
IN,INDIANA
IA,IOWA
KS,KANSAS
KY,KENTUCKY
LA,LOUISIANA
ME,MAINE
MD,MARYLAND
MA,MASSACHUSETTS
MI,MICHIGAN
MN,MINNESOTA
MS,MISSISSIPPI
MO,MISSOURI
MT,MONTANA
NE,NEBRASKA
NV,NEVADA
NH,NEW HAMPSHIRE
NJ,NEW JERSEY
NM,NEW MEXICO
NY,NEW YORK
NC,NORTH CAROLINA
ND,NORTH DAKOTA
OH,OHIO
OK,OKLAHOMA
OR,OREGON
PA,PENNSYLVANIA
RI,RHODE ISLAND
SC,SOUTH CAROLINA
SD,SOUTH DAKOTA
TN,TENNESSEE
TX,TEXAS
UT,UTAH
VT,VERMONT
VA,VIRGINIA
WA,WASHINGTON
WV,WEST VIRGINIA
WI,WISCONSIN
WY,WYOMING
