candidateID,candidateName,,,,,,,,,,,,,
01,Frank Atwood,,(APV),,,,,,,,,,,
02,Darrell L. Castle,,"(AMC,","CON,","CPF,","IAP,","IND,",UST),,,,,,
03,Hillary Clinton,"(D,","DFL,","DNL,","WEP,",WF),,,,,,,,
04,Scott Copeland,(CON),,,,,,,,,,,,
05,"Roque ""Rocky"" De La Fuente",,,,"(ADP,","IND,","NAF,","NP,","NPY,","RPF,",UN),,,
06,Richard Duncan,(N),,,,,,,,,,,,
07,Rocky Giordani,(IAP),,,,,,,,,,,,
08,James (Jim) Hedges,,"(IND,",P),,,,,,,,,,
09,Tom Hoefling,"(AMP,",LFC),,,,,,,,,,,
10,Princess Jacob,(LTC),,,,,,,,,,,,
11,Gary Johnson,"(IDP,","IND,","LBF,","LIB,",N),,,,,,,,
12,Lynn S. Kahn,,"(IND,",NPI),,,,,,,,,,
13,Chris Keniston,"(VPA,",VP),,,,,,,,,,,
14,Alyson Kennedy,"(IND,","SWP,",UN),,,,,,,,,,
15,Kyle Kenley Kopitke,,(IAP),,,,,,,,,,,
16,Laurence Kotlikoff,"(IOC,",KFP),,,,,,,,,,,
17,Gloria Estela La Riva,,,"(LBU,","PAF,","PSL,",SLP),,,,,,,
18,Bradford Lyttle,(NRP),,,,,,,,,,,,
19,Joseph Allen Maldonado,,(IPC),,,,,,,,,,,
20,Michael A. Maturen,,(ASP),,,,,,,,,,,
21,Evan McMullin,"(CCS,","IDP,","IND,","BFA,","NP,",UN),,,,,,,
22,Monica Moorehead,"(UN,",WW),,,,,,,,,,,
23,Ryan Alan Scott,,(UN),,,,,,,,,,,
24,Rod Silva,(NTP),,,,,,,,,,,,
25,Peter Skewes,(AM),,,,,,,,,,,,
26,Mike Smith,"(IND,",UN),,,,,,,,,,,
27,Emidio Soltysik,"(NLP,",SOC),,,,,,,,,,,
28,Jill Stein,"(BP,","GI,","GPF,","GR,","GRE,","IG,","IND,","MTP,","PG,","PRO,","STG,","UN,",WG)
29,Donald J. Trump,,"(R,","AIP,",C),,,,,,,,,
30,Dan R. Vacek,,(LMN),,,,,,,,,,,
31,Jerry White,(SEA),,,,,,,,,,,,
